0;yes;The man has got black hair and glasses.
0;yes;There is a lamp on the bookcase.
0;no;Some of the children are singing.
0;yes;The woman is holding some drinks.
0;yes;The cat is sleeping under an armchair.
1;yes;The boys are wearing blue shorts.
1;no;Two cows are looking at the sun.
1;no;The children are fishing in the sea.
1;no;There’s an old boot in the water.
1;yes;You can see three fish in the picture.
1;yes;The child with black hair is sitting down.
1;yes;There’s a green frog on the bag.
